national_park,pos,review_year,tokens,counts
Acadia National Park,ADJ,2017,later,1
Acadia National Park,ADJ,2017,least,9
Acadia National Park,ADJ,2017,left,1
Acadia National Park,ADJ,2017,less,1
Acadia National Park,ADJ,2017,light,2
Acadia National Park,ADJ,2017,limited,4
Acadia National Park,ADJ,2017,little,11
Acadia National Park,ADJ,2017,lobster,1
Acadia National Park,ADJ,2017,local,3
Acadia National Park,ADJ,2017,lofty,1
Acadia National Park,ADJ,2017,long,8
Acadia National Park,ADJ,2017,longer,2
Acadia National Park,ADJ,2017,loop,1
Acadia National Park,ADJ,2017,lovely,9
Acadia National Park,ADJ,2017,lower,1
Acadia National Park,ADJ,2017,lucky,3
Acadia National Park,ADJ,2017,lush,2
Acadia National Park,ADJ,2017,magical,2
Acadia National Park,ADJ,2017,magnificent,4
Acadia National Park,ADJ,2017,main,8
Acadia National Park,ADJ,2017,maintained,2
Acadia National Park,ADJ,2017,majestic,1
Acadia National Park,ADJ,2017,major,4
Acadia National Park,ADJ,2017,manageable,3
Acadia National Park,ADJ,2017,many,68
Acadia National Park,ADJ,2017,marked,1
Acadia National Park,ADJ,2017,marvelous,1
Acadia National Park,ADJ,2017,massive,1
Acadia National Park,ADJ,2017,milky,1
Acadia National Park,ADJ,2017,miscellaneous,1
Acadia National Park,ADJ,2017,misty,1
Acadia National Park,ADJ,2017,moderate,3
Acadia National Park,ADJ,2017,more,23
Acadia National Park,ADJ,2017,most,8
Acadia National Park,ADJ,2017,mountain-,1
Acadia National Park,ADJ,2017,much,20
Acadia National Park,ADJ,2017,multiple,2
Acadia National Park,ADJ,2017,national,24
Acadia National Park,ADJ,2017,natural,8
Acadia National Park,ADJ,2017,near,1
Acadia National Park,ADJ,2017,negative,1
Acadia National Park,ADJ,2017,next,13
Acadia National Park,ADJ,2017,nice,18
Acadia National Park,ADJ,2017,nicest,1
Acadia National Park,ADJ,2017,nominal,1
Acadia National Park,ADJ,2017,northern,1
Acadia National Park,ADJ,2017,numerous,3
Acadia National Park,ADJ,2017,nuts,1
Acadia National Park,ADJ,2017,obvious,1
Acadia National Park,ADJ,2017,occasional,1
Acadia National Park,ADJ,2017,only,3
Acadia National Park,ADJ,2017,open,1
Acadia National Park,ADJ,2017,orange,1
Acadia National Park,ADJ,2017,original,1
Acadia National Park,ADJ,2017,other,13
Acadia National Park,ADJ,2017,outdoor,1
Acadia National Park,ADJ,2017,outdoors,1
Acadia National Park,ADJ,2017,outstanding,6
Acadia National Park,ADJ,2017,overall,1
Acadia National Park,ADJ,2017,overcast,1
Acadia National Park,ADJ,2017,overrated,1
Acadia National Park,ADJ,2017,overwhelming,1
Acadia National Park,ADJ,2017,panoramic,1
Acadia National Park,ADJ,2017,partial,1
Acadia National Park,ADJ,2017,particular,1
Acadia National Park,ADJ,2017,past,2
Acadia National Park,ADJ,2017,peaceful,4
Acadia National Park,ADJ,2017,peak,2
Acadia National Park,ADJ,2017,pebble,1
